vehicle_type_code1,collision_count
ATTECHMENT,1
ELECTRIC C,1
FD Ambulan,1
dp,1
2000,1
U.S. POSTA,1
LTRL,1
PET,1
AMAZON TRU,1
Mopped,1
EMI- TRAIL,1
C0MME,1
MTA C,1
1S,1
con ed tru,1
US Mail Tr,1
TOW-TRUCK,1
CHEV,1
VANET,1
3 doo,1
moter,1
FDNY- Fire,1
Dumps,1
SCOO,1
Lift,1
CONT,1
Razor Scoo,1
COMMM,1
YW PO,1
BOX CAR,1
sanitaion,1
atv p,1
250-3,1
cm,1
PS,1
g scl,1
ST150,1
Mta bus,1
MAIL CARRI,1
LSA,1
