vehicle_type_code1,collision_count
Commer Veh,1
Suv,1
VANET,1
AMBALANCE,1
SKID LOADE,1
COMM TRAIL,1
Sweeper,1
nyc d,1
FLATBED FR,1
delviery,1
MTA V,1
CAN,1
gas mo ped,1
f15,1
White ambu,1
Trolley ri,1
UTILITY WH,1
fdny ems,1
Mini Van,1
forlift,1
atv p,1
CHERR,1
985,1
KENWO,1
Yellow sch,1
VOLVO,1
TRT,1
Military v,1
cp,1
SW/VAN,1
EAMB,1
SWEPE,1
bsd,1
Flat bed t,1
MTA truck,1
LIBER,1
COMB,1
BLOCK,1
front,1
delivery,1
dark color,1
nys ambula,1
backhoe re,1
vespa,1
Ice C,1
NY CITY MT,1
UNKOWN,1
DEIV,1
Boom Lift,1
fdny truck,1
Bicyc,1
FDNY Ladde,1
NTTRL,1
R.M.P.,1
KUBOT,1
E-MOT,1
mini bus,1
TRANSIT VA,1
EMI- TRAIL,1
SM YW,1
CAMP,1
TKTR,1
con ed tru,1
usps truck,1
GOLF CAR,1
ELEC.,1
Hearse,1
MILITARY,1
Acces,1
Postoffice,1
dumps,1
15 Pa,1
access-a-r,1
van w,1
250-3,1
DIRTB,1
FREIGHT VA,1
SKID-,1
scooc,1
Dumb Truck,1
MOTORIZEDS,1
red t,1
Mta bus,1
